label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pseudo_sample
,,397,,168.0771,11.42884,0.857896,,,,,,,,3092306.9166666646
,,398,,266.075,9.288128,0.8481365,,,,,,,,151393.9442708333
,,399,,390.11130000000003,2.578361,0.8408743,,,,,,,,2148630.9333333327
,,404,,226.1805,5.349056,0.5817609,,,,,,,,306491.3333333332
,,405,,267.1189,15.63171,0.8452473,,,,,,,,50152.49293619788
,,407,,335.1971,4.194911,0.8506563,,,,,,,,50633.798958333326
,,408,,268.9513,13.8392,0.8497949,,,,,,,,2346767.4749999978
,,409,,312.8082,13.85917,0.8441582,,,,,,,,1652946.3937500014
,,410,,188.1074,2.784917,0.8323442,,,,,,,,42229.497916666674
,,412,,160.9017,13.98708,0.8391574,,,,,,,,3019036.5166666685
,,413,,327.1414,8.701379,0.8407186,,,,,,,,3118038.883333336
,,414,,327.1419,7.115245,0.8132856,,,,,,,,174552.52031250013
,,417,,195.0939,4.513589,0.8318985,,,,,,,,48199.33089192711
,,418,,246.1704,7.110289,0.8336678,,,,,,,,2276226.458333335
,,420,,276.1671,11.29493,0.8381708,,,,,,,,2364002.9666666663
,,421,,276.1669,13.87395,0.8310739,,,,,,,,973211.637500003
,,422,,973.9866,2.490334,0.8564776,,,,,,,,2280228.65
,,423,,330.3008,2.908045,0.835683,,,,,,,,2281335.7666666685
,,424,,256.2638,2.809395,0.8370087,,,,,,,,2288166.0333333327
,,425,,517.0037,13.86902,0.8502215,,,,,,,,2007504.158333335
,,426,,407.1379,2.57345,0.8377257,,,,,,,,2180275.8499999987
,,427,,404.3374,2.57345,0.8373896,,,,,,,,2560682.7833333304
,,428,,404.3376,4.235134,0.8289729,,,,,,,,24147.046940104152
,,429,,684.2036,2.509884,0.8327797,,,,,,,,2720134.1166666644
,,431,,332.8946,13.95752,0.8508276,,,,,,,,2454099.8
,,432,,315.1281,13.35225,0.8335023,,,,,,,,2646997.416666668
,,433,,223.0613,2.529433,0.8541914,,,,,,,,581554.9750000002
,,434,,465.1281,2.548983,0.8388011,,,,,,,,2198704.054166668
,,435,,496.268,7.110289,0.8348274,,,,,,,,2265671.791666664
,,436,,176.1164,17.48667,0.6645159,,,,,,,,522165.5687500005
,,437,,236.9156,13.96245,0.8490942,,,,,,,,2502584.8666666667
,,439,,291.0703,8.736873,0.7791942,,,,,,,,2799975.4333333354
,,441,,438.789,13.96245,0.8504226,,,,,,,,2441624.5666666683
,,442,,926.27,2.470795,0.8371918,,,,,,,,2341933.416666665
,,443,,158.0968,2.873417,0.7840207,,,,,,,,70462.65807291667
,,444,,233.1117,11.96997,0.7262641,,,,,,,,129267.90208333325
,,445,,233.1135,9.364962,0.7793911,,,,,,,,16141.668424479154
,,446,,289.8807,13.85426,0.850084,,,,,,,,1746064.1666666663
,,448,,350.234,16.81239,0.8079033,,,,,,,,2618447.2333333357
