id,mz,rt,rtmin,rtmax,n_glc,image,prediction,EVA_remove,peak_group,n,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
5071,241.092,14.3,14.19,14.39,1100000,F2715.png,TRUE,FALSE,,,FALSE,1100000,FALSE,FALSE,FALSE
2404,241.093,7.82,7.65,8.02,310000,F2716.png,FALSE,TRUE,,,FALSE,310000,FALSE,FALSE,FALSE
2505,241.0931,8.13,8.07,8.24,99000,F2717.png,FALSE,TRUE,,,FALSE,99000,FALSE,FALSE,FALSE
2845,241.0931,8.7,8.5,8.96,1500000,F2718.png,TRUE,FALSE,,,FALSE,1500000,FALSE,FALSE,FALSE
554,241.1083,1.9,1.62,1.99,670000,F2719.png,TRUE,FALSE,,,FALSE,670000,FALSE,FALSE,FALSE
1032,241.1083,2.73,2.56,3.01,630000,F2720.png,TRUE,FALSE,,,FALSE,630000,FALSE,FALSE,FALSE
1241,241.1084,3.1,3.01,3.33,100000,F2721.png,TRUE,FALSE,,,FALSE,100000,FALSE,FALSE,FALSE
1401,241.1195,3.56,3.33,4.16,850000,F2722.png,TRUE,FALSE,,,FALSE,850000,FALSE,FALSE,FALSE
479,241.1447,1.84,1.62,2.01,390000,F2723.png,TRUE,FALSE,,,FALSE,390000,FALSE,FALSE,FALSE
312,241.2174,1.62,1.47,2.04,3500000,F2724.png,TRUE,FALSE,,,FALSE,3500000,FALSE,FALSE,FALSE
938,241.2174,2.67,2.1,2.81,840000,F2725.png,TRUE,FALSE,,,FALSE,840000,FALSE,FALSE,FALSE
1874,241.899,6.22,6.02,6.51,9300000,F2726.png,TRUE,FALSE,,,FALSE,9300000,FALSE,FALSE,FALSE
3117,241.9596,9.27,9.21,9.42,1900000,F2727.png,TRUE,FALSE,,,FALSE,1900000,FALSE,FALSE,FALSE
1171,242.013,2.95,2.9,3.13,130000,F2728.png,FALSE,TRUE,,,FALSE,130000,FALSE,FALSE,FALSE
1304,242.0131,3.3,3.18,3.56,110000,F2729.png,FALSE,TRUE,,,FALSE,110000,FALSE,FALSE,FALSE
1592,242.0131,4.39,4.22,4.56,76000,F2730.png,FALSE,TRUE,,,FALSE,76000,FALSE,FALSE,FALSE
