id,mz,rt,rtmin,rtmax,p_293T_2,image,prediction,EVA_remove,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
3982,227.1239,14.45,14.05,15,4700,F489.png,TRUE,FALSE,FALSE,4700,FALSE,FALSE,FALSE
1367,227.1242,4.67,4.55,4.88,1400,F490.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
1016,227.1747,2.9,2.78,2.95,1300,F491.png,FALSE,TRUE,FALSE,1300,FALSE,FALSE,FALSE
1539,228.0816,8.04,7.9,8.21,1700,F492.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
1780,228.0964,9.18,9.07,9.3,2200,F493.png,TRUE,FALSE,FALSE,2200,FALSE,FALSE,FALSE
1381,228.0969,6.26,5.89,6.84,3500,F494.png,TRUE,FALSE,FALSE,3500,FALSE,FALSE,FALSE
1867,229.1172,9.42,9.11,9.52,3100,F495.png,FALSE,TRUE,FALSE,3100,FALSE,FALSE,FALSE
2088,229.1173,9.85,9.64,10.03,5500,F496.png,FALSE,TRUE,FALSE,5500,FALSE,FALSE,FALSE
2212,229.1174,10.23,10.03,10.38,7000,F497.png,FALSE,TRUE,FALSE,7000,FALSE,FALSE,FALSE
1382,229.1536,6.27,5.84,6.85,2100,F498.png,FALSE,TRUE,FALSE,2100,FALSE,FALSE,FALSE
1678,229.1537,8.83,8.67,9.01,3200,F499.png,TRUE,FALSE,FALSE,3200,FALSE,FALSE,FALSE
1454,230.0691,7.42,7.13,7.9,1500,F500.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
1271,230.247,3.36,3.23,3.62,3900,F501.png,TRUE,FALSE,FALSE,3900,FALSE,FALSE,FALSE
1463,231.073,7.55,7.4,7.75,1800,F502.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
2435,231.0967,10.76,10.68,10.9,3200,F503.png,TRUE,FALSE,FALSE,3200,FALSE,FALSE,FALSE
3092,232.0262,13.34,13.13,13.43,1600,F504.png,TRUE,FALSE,FALSE,1600,FALSE,FALSE,FALSE
677,232.1356,1.93,1.87,2.05,2800,F505.png,TRUE,FALSE,FALSE,2800,FALSE,FALSE,FALSE
