mz,rt,rtmin,rtmax,p_glc
816.6219,96,91.2,104.4,1800000
844.653,96,91.2,101.39999999999999,980000
854.5686,96,85.8,108,1700000
78.3921,97.8,93,106.2,720000
256.8504,97.8,85.8,116.39999999999999,14000000
469.3268,97.8,91.2,125.39999999999999,4100000
679.5095,97.8,91.2,123.60000000000001,6100000
690.5061,97.8,93,106.2,1400000
693.5252,97.8,91.2,113.39999999999999,2700000
724.5269,97.8,89.4,113.39999999999999,2200000
733.5931,97.8,89.4,108,1100000
745.5565,97.8,87.6,123.60000000000001,5600000
748.5482,97.8,91.2,120,1500000
750.5429,97.8,89.4,113.39999999999999,1700000
754.5362,97.8,87.6,120,7100000
755.5395,97.8,89.4,123.60000000000001,3500000
764.5219,97.8,89.4,116.39999999999999,1400000
771.5724,97.8,89.4,113.39999999999999,1300000
774.564,97.8,91.2,109.80000000000001,1300000
317.2151,99.6,93,126.6,34000000
318.2188,99.6,96,157.79999999999998,2400000
419.7746,99.6,97.8,128.4,2500000
645.9368,99.6,94.2,116.39999999999999,1000000
716.5219,99.6,91.2,123.60000000000001,2500000
750.5641,99.6,94.2,108,960000
796.6224,99.6,89.4,106.2,1600000
78.1754,101.39999999999999,97.8,109.80000000000001,800000
102.0913,101.39999999999999,97.8,126.6,1600000
251.1852,101.39999999999999,97.8,113.39999999999999,1700000
260.1678,101.39999999999999,97.8,116.39999999999999,3300000
316.2117,101.39999999999999,93,128.4,180000000
416.2277,101.39999999999999,89.4,130.2,29000000
705.5809,101.39999999999999,97.8,113.39999999999999,1700000
708.5439,101.39999999999999,91.2,121.79999999999998,2200000
729.5898,101.39999999999999,97.8,113.39999999999999,1400000
780.5891,101.39999999999999,97.8,111.60000000000001,740000
216.1229,103.2,94.2,116.39999999999999,1200000
244.1862,103.2,96,186.6,9700000
290.1597,103.2,99.6,114.6,1300000
417.2311,103.2,96,132,7000000
582.3268,103.2,96,132,3000000
588.383,103.2,101.39999999999999,118.2,1000000
598.3737,103.2,97.8,108,890000
675.5431,103.2,97.8,118.2,4600000
689.5585,103.2,97.8,116.39999999999999,2400000
701.5586,103.2,96,130.2,10000000
702.5621,103.2,96,125.39999999999999,4800000
703.5744,103.2,94.2,128.4,19000000
704.5778,103.2,94.2,130.2,9000000
740.5213,103.2,89.4,114.6,1200000
121.3403,104.4,99.6,130.2,1000000
243.1828,104.4,94.2,114.6,260000000
243.6844,104.4,96,114.6,77000000
246.1521,104.4,99.6,126.6,8700000
247.1555,104.4,101.39999999999999,113.39999999999999,1100000
293.1909,104.4,96,116.39999999999999,20000000
293.6925,104.4,99.6,116.39999999999999,6800000
345.2383,104.4,94.2,109.80000000000001,1500000
424.3056,104.4,99.6,114.6,2000000
435.3096,93,84,99.6,1000000
485.3429,104.4,97.8,128.4,3700000
485.3582,104.4,94.2,132,540000000
486.3617,104.4,94.2,130.2,160000000
487.3649,104.4,96,132,21000000
488.3671,104.4,99.6,132,2600000
504.3482,104.4,99.6,142.20000000000002,4900000
507.34,104.4,97.8,114.6,1500000
521.335,104.4,97.8,126.6,18000000
522.3385,104.4,97.8,132,5000000
523.332,104.4,97.8,133.8,5900000
524.3357,104.4,99.6,135.6,1500000
585.3741,104.4,91.2,137.4,110000000
586.3776,104.4,96,132,36000000
676.5466,104.4,97.8,114.6,2000000
700.4092,104.4,99.6,125.39999999999999,1900000
838.5418,104.4,96,128.4,2300000
959.648,104.4,97.8,114.6,720000
102.0904,106.2,97.8,130.2,1300000
243.1781,106.2,103.2,132,1800000
294.1938,106.2,101.39999999999999,113.39999999999999,1400000
304.2845,106.2,99.6,145.8,4000000
344.2067,106.2,101.39999999999999,113.39999999999999,1400000
369.0789,106.2,99.6,118.2,3700000
485.3738,106.2,99.6,125.39999999999999,3700000
504.8496,106.2,101.39999999999999,132,3300000
564.3584,106.2,103.2,114.6,900000
587.3805,106.2,96,138.6,6200000
122.0964,108,103.2,114.6,870000
232.1365,108,104.4,116.39999999999999,1800000
257.5192,108,103.2,114.6,580000
336.5678,108,99.6,116.39999999999999,1800000
336.9022,108,99.6,114.6,1100000
520.3324,108,104.4,116.39999999999999,1100000
552.4022,108,104.4,116.39999999999999,2000000
668.5202,108,103.2,118.2,690000
243.6817,109.80000000000001,104.4,120,1700000
334.764,109.80000000000001,101.39999999999999,113.39999999999999,710000
375.2251,109.80000000000001,103.2,118.2,1700000
375.7268,109.80000000000001,108,120,810000
432.2802,109.80000000000001,106.2,120,1600000
550.3863,109.80000000000001,103.2,120,5900000
569.3426,109.80000000000001,99.6,116.39999999999999,1300000
571.3584,109.80000000000001,104.4,118.2,1800000
708.4789,109.80000000000001,104.4,116.39999999999999,580000
735.3975,109.80000000000001,104.4,118.2,3200000
749.4427,109.80000000000001,103.2,135.6,2300000
